"Grupa produktowa,Forma Platnosci,Wojewodztwo,Miesiac i rok transakcji,Sprzedaz (srednia),Sprzedaz (mediana),Sprzedaz (minimum),Sprzedaz (maksimum),Sprzedaz (odchylenie standardowe)"
"Hi-Fi,Karta,Po³udnie,2 2004","860,46","861,00","747,00","1010,00","85,02"
"Hi-Fi,Karta,Pó³noc,2 2004","836,00","836,00","836,00","836,00",",00"
"Hi-Fi,Karta,Wschód,2 2004","793,00","818,50","673,00","862,00","77,86"
"Hi-Fi,Karta,Zachód,2 2004","809,00","855,00","656,00","887,00","79,56"
"Hi-Fi,Karta,Œl¹sk,2 2004","817,88","818,50","659,00","981,00","84,42"
"Hi-Fi,Kredyt,Centrum,2 2004","829,57","785,00","706,00","1030,00","92,70"
"Hi-Fi,Kredyt,Po³udnie,2 2004","800,62","770,00","750,00","887,00","47,13"
"Hi-Fi,Kredyt,Pó³noc,2 2004","729,00","729,00","729,00","729,00",",00"
"Hi-Fi,Kredyt,Wschód,2 2004","819,30","842,00","729,00","951,00","68,38"
"Hi-Fi,Kredyt,Zachód,2 2004","840,17","842,00","729,00","1010,00","76,48"
"Hi-Fi,Kredyt,Œl¹sk,2 2004","827,42","842,00","748,00","981,00","67,49"
"Lodówki,Gotówka,Centrum,2 2004","976,55","851,00","703,00","1758,00","307,98"
"Lodówki,Gotówka,Pomorze,2 2004","929,34","811,00","669,00","1675,00","284,98"
"Lodówki,Gotówka,Po³udnie,2 2004","1010,91","853,00","690,00","1725,00","343,75"
"Lodówki,Gotówka,Pó³noc,2 2004","1049,15","922,00","669,00","1675,00","362,38"
"Lodówki,Gotówka,Wschód,2 2004","969,14","811,00","669,00","1675,00","316,51"
"Lodówki,Gotówka,Zachód,2 2004","966,82","835,00","669,00","1725,00","303,57"
"Lodówki,Gotówka,Œl¹sk,2 2004","967,98","811,00","669,00","1675,00","326,01"
"Lodówki,Karta,Centrum,2 2004","985,91","851,00","690,00","1758,00","322,62"
"Lodówki,Karta,Pomorze,2 2004","971,46","894,00","669,00","1675,00","322,62"
"Lodówki,Karta,Po³udnie,2 2004","961,28","835,00","690,00","1725,00","307,89"
"Lodówki,Karta,Pó³noc,2 2004","950,87","811,00","669,00","1675,00","319,31"
"Lodówki,Karta,Wschód,2 2004","968,86","828,00","669,00","1675,00","330,94"
"Lodówki,Karta,Zachód,2 2004","960,12","835,00","690,00","1725,00","305,87"
"Lodówki,Karta,Œl¹sk,2 2004","922,33","811,00","669,00","1675,00","298,65"
"Lodówki,Kredyt,Centrum,2 2004","1009,55","854,00","713,00","1758,00","333,37"
"Lodówki,Kredyt,Pomorze,2 2004","930,51","829,00","693,00","1675,00","287,22"
"Lodówki,Kredyt,Po³udnie,2 2004","976,52","835,00","713,00","1725,00","314,24"
"Lodówki,Kredyt,Pó³noc,2 2004","1014,02","811,00","693,00","1675,00","362,16"
"Lodówki,Kredyt,Wschód,2 2004","944,96","811,00","693,00","1675,00","306,11"
"Lodówki,Kredyt,Zachód,2 2004","949,30","835,00","693,00","1725,00","295,16"
"Lodówki,Kredyt,Œl¹sk,2 2004","922,57","811,00","693,00","1675,00","274,45"
"Pralki,Gotówka,Centrum,2 2004","1145,85","917,00","635,00","1992,00","439,65"
"Pralki,Gotówka,Pomorze,2 2004","1070,41","874,00","605,00","1898,00","430,71"
"Pralki,Gotówka,Po³udnie,2 2004","1204,30","1259,00","623,00","1954,00","419,24"
"Pralki,Gotówka,Pó³noc,2 2004","1223,65","1319,00","696,00","1898,00","412,93"
"Pralki,Gotówka,Wschód,2 2004","1160,00","1223,00","675,00","1898,00","393,08"
"Pralki,Gotówka,Zachód,2 2004","1179,10","900,00","645,00","1954,00","445,03"
"Pralki,Gotówka,Œl¹sk,2 2004","1125,82","874,00","605,00","1898,00","432,52"
"Pralki,Karta,Centrum,2 2004","1237,29","1340,00","623,00","1992,00","454,56"
"Pralki,Karta,Pomorze,2 2004","1135,75","874,00","626,00","1898,00","451,28"
"Pralki,Karta,Po³udnie,2 2004","1167,10","1217,00","623,00","1954,00","464,26"
"Pralki,Karta,Pó³noc,2 2004","1123,45","874,00","626,00","1898,00","379,69"
"Pralki,Karta,Wschód,2 2004","1075,62","874,00","626,00","1898,00","391,80"
